,er,er_80,er_80c,er_90,er_90c,er_95,er_95c,ts_80,ts_80c,ts_90,ts_90c,ts_95,ts_95c
0,0.3684210479,0.2222222239,0.2222222239,0.3783783913,,,,18,18,37,,,
1,0.490196079,,0.4878048897,,,,,,41,,,,
2,0.290322572,0.3181818128,0.3333333433,0.3214285672,0.3043478131,0.3000000119,0.3103448153,22,21,28,23,30,29
3,0.34375,0.1538461596,0.1538461596,0.3461538553,0.3461538553,0.3214285672,0.3214285672,13,13,26,26,28,28
4,0.6363636255,,,,,,,,,,,,
5,0.490196079,,,,,,,,,,,,
6,0.1818181872,0.2352941185,0.2666666806,0.2105263174,0.2352941185,0.190476194,0.2222222239,17,15,19,17,21,18
7,0.2592592537,0.2631579041,0.277777791,0.2916666567,0.3000000119,0.269230783,0.2916666567,19,18,24,20,26,24
8,0.2399999946,0.200000003,0.2142857164,0.2105263174,0.1875,0.25,0.2222222239,15,14,19,16,24,18
9,0.5400000215,,,,,,,,,,,,
10,0.2592592537,0.2857142985,0.2857142985,0.2608695626,0.2608695626,,,21,21,23,23,,
11,0.5686274767,,,,,,,,,,,,
12,0.2592592537,0.3333333433,0.2916666567,0.3043478131,0.269230783,0.2800000012,0.28,21,24,23,26,25,50
13,0.2399999946,0.2857142985,0.3157894611,0.2608695626,0.3000000119,0.25,0.2727272809,21,19,23,20,24,22
14,0.4347825944,0.5,0.4545454681,0.474999994,0.4444444478,0.4545454681,0.454545,38,44,40,45,44,50
15,0.2222222239,0.2727272809,0.2666666806,0.25,0.2857142985,0.2307692319,0.2608695626,22,15,24,21,26,23
16,0.1923076957,0.2105263174,0.2352941185,0.190476194,0.200000003,0.200000003,0.1818181872,19,17,21,20,25,22
17,0.5294117928,,,,,,,,,,,,
18,0.2333333343,0.0625,0.0625,0.25,0.2592592537,0.25,0.25,16,16,28,27,50,28
19,0.3695652187,0.400000006,0.3333333433,0.380952388,0.3461538553,0.3720930219,0.3333333433,40,21,42,26,43,27
20,0.3829787374,0.3548386991,0.3000000119,0.4090909064,0.3461538553,0.3913043439,0.3571428657,31,20,44,26,46,28
21,0.200000003,0.1764705926,0.1875,0.1578947306,0.1666666716,0.2083333284,0.150000006,17,16,19,18,24,20
22,0.2727272809,0.125,0.125,0.1111111119,0.1111111119,0.2666666806,0.2307692319,16,16,18,18,30,26
23,0.2307692319,0.2857142985,0.2142857164,0.2608695626,0.2727272809,0.2399999946,0.25,21,14,23,22,25,24
24,0.2413793057,0.2727272809,0.2727272809,0.25,0.25,0.2307692319,0.2307692319,22,22,24,24,26,26
25,0.1304347813,0.1176470593,0.1333333403,0.1428571492,0.1176470593,0.1363636404,0.150000006,17,15,21,17,22,20
26,0.2307692319,0.2631579041,0.277777791,0.2380952388,0.25,0.2399999946,0.2727272809,19,18,21,20,25,22
27,0.1599999964,0.125,0.1333333403,0.1818181872,0.190476194,0.1666666716,0.1818181872,16,15,22,21,24,22
28,0.1739130467,0.1875,0.2142857164,0.200000003,0.1875,0.1818181872,0.2222222239,16,14,20,16,22,18
29,0.25,0.1875,0.1875,0.2608695626,0.2727272809,0.2592592537,0.2608695626,16,16,23,22,27,23
30,0.1785714328,0.2173912972,0.25,0.200000003,0.227272734,0.1851851791,0.2083333284,23,20,25,22,27,24
31,0.1739130467,0.1875,0.2142857164,0.1666666716,0.1875,0.1818181872,0.1666666716,16,14,18,16,22,18
32,0.6764705777,,,,,,,,,,,,
33,0.2083333284,0.1764705926,0.200000003,0.1578947306,0.1764705926,0.1666,0.1666666716,17,15,19,17,50,18
34,0.2857142985,0.25,0.277777791,0.227272734,0.25,0.2307692319,0.227272734,20,18,22,20,26,22
35,0.6451612711,,,,,,,,,,,,
36,0.5294117928,,,,,,,,,,,,
37,0.0588235296,0.0769230798,0.0769230798,0.0666666701,0.0666666701,,,13,13,15,15,,
38,0.349999994,0.3823529482,0.3000000119,0.3611111045,0.3478260934,0.38235,0.3823529482,34,20,36,23,50,34
39,0.25,0.2800000012,0.3125,0.2758620679,0.2631579041,0.2580645084,0.2857142985,25,16,29,19,31,21
40,0.1599999964,0.1666666716,0.200000003,0.150000006,0.1764705926,0.1666666716,0.1578947306,18,15,20,17,24,19
41,0.1428571492,0.1428571492,0.1538461596,0.125,0.1333333403,0.150000006,0.125,14,13,16,15,20,16
42,0.1363636404,0.1333333403,0.1333333403,0.1578947306,0.1764705926,0.1428571492,0.150000006,15,15,19,17,21,20
43,0.2142857164,0.2380952388,0.2380952388,0.2399999946,0.25,0.2222222239,0.2399999946,21,21,25,24,27,25
44,0.5600000024,,,,,,,,,,,,
45,0.2413793057,0.2800000012,0.3043478131,0.2592592537,0.2800000012,0.269,0.269230783,25,23,27,25,50,26
46,0.3589743674,0.4117647111,0.380952388,0.3888888955,0.3783783913,0.3684210479,0.3684,34,21,36,37,38,50
47,0.3255814016,0.3611111045,0.3714285791,0.3421052694,0.3611111045,0.3249999881,0.3513513505,36,35,38,36,40,37
48,0.5882353187,,,,,,,,,,,,
